"Isbn";"Author"
"9780029281116";"Michael Schulman"
"9780029639009";"Editions Berlitz S.A"
"9780030020780";"Douglas A. Skoog"
"9780030020780";"F. James Holler"
"9780030020780";"Timothy A. Nieman"
"9780030037160";"Philip Roth"
"9780030056284";"Katherine Wei"
"9780030056284";"Terry Quinn"
"9780030074318";"Lloyd Alexander"
"9780030074318";"Margot Zemach"
"9780030096181";"Frank R. Stermitz"
"9780030096181";"Stephen J. Weininger"
"9780030119507";"Horace Walpole"
"9780030149061";"G. B. (1948- ) Trudeau"
"9780030181016";"Charles M. Schulz"
"9780030195167";"John C Brereton"
"9780030211218";"A. J McClane"
"9780030226861";"E. Adamson Hoebel"
"9780030291791";"Michael D. Hutt"
"9780030291791";"Thomas W. Speh"
"9780030419966";"Patricia L Garfield"
"9780030423918";"Paulita Sedgwick"
"9780030442810";"Dee Brown"
"9780030448560";"G. B. Trudeau"
"9780030448560";"Garry B. Trudeau"
"9780030463266";"David Bradley"
"9780030463266";"Dewitt Jones"
"9780030463266";"Robert Frost"
"9780030476266";"Owen Brookes"
"9780030554384";"Chinua Achebe"
"9780030577864";"Richard Setlowe"
"9780030589539";"William B. Sanders"
"9780030597862";"Alice Koller"
"9780030598586";"E. V. Cunningham"
"9780030615320";"G. B. Trudeau"
"9780030622090";"John Knowles"
"9780030628825";"Leo Buscaglia"
"9780030632365";"Gloria Steinem"
"9780030640070";"Craig Claiborne"
"9780030844928";"Lyndon Baines Johnson"
"9780030914560";"Anthony B Herbert"
"9780043510742";"David Suzuki"
"9780044402442";"Barbara Hambly"
"9780044409007";"Liz Evans"
"9780044409571";"Alice Myers"
"9780044409571";"Sarah Wight"
"9780048231390";"Christopher Tolkien"
"9780048231390";"J. R. R. Tolkien"
"9780060000790";"Sophy Burnham"
"9780060000806";"Sophy Burnham"
"9780060001339";"Jennifer L. Holm"
"9780060001445";"Victoria Alexander"
"9780060001452";"Victoria Alexander"
"9780060002053";"Stephanie Laurens"
"9780060002091";"Milan Kundera"
"9780060002435";"Terrence Cheng"
"9780060002497";"James Rollins"
"9780060004385";"Manil Suri"
"9780060004538";"Neal Pollack"
"9780060004699";"Carolyn Hart"
"9780060004705";"Carolyn Hart"
"9780060005009";"Denys Cazet"
"9780060005429";"Garth Nix"
"9780060005559";"James Grippando"
"9780060006044";"Isobel Bird"
"9780060006761";"Frederick Taylor"
"9780060007775";"Edward DeAngelo"
"9780060007805";"John Searles"
"9780060008024";"Marian Keyes"
"9780060008369";"James W. Huston"
"9780060008772";"Elmore Leonard"
"9780060008864";"Gregg Hurwitz"
"9780060008871";"Gregg Hurwitz"
"9780060009229";"Owen Parry"
"9780060009243";"Rachel Gibson"
"9780060009465";"Janice Dickinson"
"9780060009649";"Joe Buff"
"9780060011918";"Lawrence Block"
"9780060012038";"Robert C. Atkins"
"9780060012335";"Terry Pratchett"
"9780060013110";"Terry Pratchett"
"9780060080846";"Ira Levin"
"9780060080846";"Peter Straub"
"9780060081188";"Adam Braver"
"9780060081652";"Marsha Moyer"
"9780060081966";"Bob Greene"
"9780060082192";"Elmore Leonard"
"9780060083267";"Phillip Margolin"
"9780060083298";"Alisa Kwitney"
"9780060083946";"Elmore Leonard"
"9780060083953";"Elmore Leonard"
"9780060084028";"Elmore Leonard"
"9780060084400";"Judith R. Hendricks"
"9780060084455";"Roger Housden"
"9780060085445";"Meg Cabot"
"9780060085896";"Hayden Herrera"
"9780060086244";"Marian Keyes"
"9780060086381";"Dorothy Samuels"
"9780060088293";"Joseph Rutt"
"9780060088293";"Melody Beattie"
"9780060089290";"Lynn Emery"
"9780060090364";"Marian Keyes"
"9780060090371";"Marian Keyes"
"9780060090388";"Marian Keyes"
"9780060092160";"Joanne Pence"
"9780060092641";"Christina Dodd"
"9780060092962";"Cathy Maxwell"
"9780060093419";"Mary-Kate Olsen"
"9780060093594";"Yxta Maya Murray"
"9780060094393";"Dale Brown"
"9780060094393";"Jim Defelice"
"9780060094744";"Will Weaver"
"9780060094850";"Rebecca Godfrey"
"9780060095277";"Joseph Wambaugh"
"9780060096199";"Meggin Cabot"
"9780060096205";"Saralee Rosenberg"
"9780060096779";"Nancy Richler"
"9780060097462";"Louise Rennison"
"9780060097820";"John Follain"
"9780060097820";"Rita Cristofari"
"9780060098537";"Judith Ivory"
"9780060099060";"Walter Anderson"
"9780060112714";"Iain Finlay"
"9780060116187";"Ruth Gordon"
"9780060119072";"Tony Hillerman"
"9780060139148";"Aleksandr Isaevich Solzhenitsyn"
"9780060139148";"Thomas P. Whitney"
"9780060149420";"And Lamb"
"9780060152581";"Michael Henry Heim"
"9780060152581";"Milan Kundera"
"9780060153014";"Diane Redfield Massie"
"9780060154561";"Margaret Chodos-Irvine"
"9780060154561";"Ursula K. Le Guin"
"9780060154967";"Bernie S. Siegel"
"9780060157814";"David Feldman"
"9780060157814";"Kas Schwan"
"9780060157999";"Anne Rivers Siddons"
"9780060158637";"Barbara Kingsolver"
"9780060159085";"Peter Carey"
"9780060161859";"John Train"
"9780060161859";"Pierre Le-Tan"
"9780060162498";"Anne Rivers Siddons"
"9780060163099";" Ph.D. Vivian Sch"
"9780060163099";"R.D."
"9780060163099";"Sylvia Schur"
"9780060163099";"Vivian Schulte"
"9780060163280";"Douglas H. Ubelaker"
"9780060163280";"Henry Scammell"
"9780060163402";"Jack Hitt"
"9780060163402";"Lawrence Block"
"9780060163402";"Sarah Caudwell"
"9780060163402";"Tony Hille"
"9780060163709";"Tony Hillerman"
"9780060163747";"Marianne Williamson"
"9780060164669";"Armistead Maupin"
"9780060165970";"Thomas Moore"
"9780060167035";"Russell Banks"
"9780060167080";"Eric Marcus"
"9780060167684";"Susan Isaacs"
"9780060168018";"Barbara Kingsolver"
"9780060168483";"John Gray"
"9780060168520";"David Floyd"
"9780060168520";"Raisa Gorbachev"
"9780060168537";"Doris May Lessing"
"9780060168605";"Russell Banks"
"9780060169282";"Thomas Moore"
"9780060169619";"Rosa Ross"
"9780060170448";"Robert Haas"
"9780060170806";"Louise Erdrich"
"9780060170837";"Cal Thomas"
"9780060171322";"Louise Erdrich"
"9780060171407";"Nancy Friday"
"9780060171438";"Armistead Maupin"
"9780060171513";"Sigrid Nunez"
"9780060171629";"John Gray"
"9780060171926";"Carri Garrison"
"9780060171926";"Marlo Morgan"
"9780060172756";"Russell Banks"
"9780060172787";"Connie Briscoe"
"9780060173081";"Laura C. Schlessinger"
"9780060173098";"Douglas Rushkoff"
"9780060173210";"Judy Sheindlin"
"9780060173289";"Rebecca Wells"
"9780060174057";"Abraham Verghese"
"9780060174118";"Swain Wolfe"
"9780060174903";"Sylvia Plath"
"9780060175184";"Jeffrey Archer"
"9780060175405";"Barbara Kingsolver"
"9780060175535";"Olivia Goldsmith"
"9780060175689";"Olivia Goldsmith"
"9780060175795";"Barbara Kingsolver"
"9780060175962";"Simon Winchester"
"9780060176150";"Anne Rivers Siddons"
"9780060176532";"Whitley Strieber"
"9780060176563";"Donald Spoto"
"9780060176624";"Camilla T. Crespi"
"9780060176877";"Doris May Lessing"
"9780060177010";"William Jeremiah Coughlin"
"9780060177225";"Barbara Taylor Bradford"
"9780060177249";"Clive Barker"
"9780060177584";"Dan Quayle"
"9780060177881";"Erma Bombeck"
"9780060178246";"Whitney Otto"
"9780060179229";"Rennie Airth"
"9780060179342";"Anne Rivers Siddons"
"9780060179359";"Anne Rivers Siddons"
"9780060179717";"Gordon Thomas"
"9780060179984";"Gerald Seymour"
"9780060182687";"Barbara Taylor Bradford"
"9780060182793";"John O\'Donohue"
"9780060182977";"Clive Barker"
"9780060183035";"Anna Murdoch"
"9780060183134";"Brian Wilson"
"9780060183134";"Todd Gold"
"9780060183523";"Lawrence Otis Graham"
"9780060185145";"Lisa Scottoline"
"9780060185251";"Joyce Carol Oates"
"9780060185282";"Patricia Gaffney"
"9780060185435";"Brian Dolan"
"9780060185701";"Kathleen E. Woodiwiss"
"9780060185718";"Tim Dorsey"
"9780060186869";"Leonore Fleischer"
"9780060186869";"Philip Gonzalez"
"9780060186944";"Bill Zehme"
"9780060186944";"Jay Leno"
"9780060187002";"Timothy Leary"
"9780060187279";"Louise Erdrich"
"9780060188733";"Ann Patchett"
"9780060188887";"Stephanie Laurens"
"9780060191016";"Gwen Macsai"
"9780060191054";"L. F. Hoffman"
"9780060191344";"Michael F. Roizen  M.D."
"9780060191535";"Lawrence Schiller"
"9780060191870";"Stuart Woods"
"9780060191924";"Patricia Gaffney"
"9780060191979";"Timothy Findley"
"9780060191986";"Jewel"
"9780060192112";"John Colapinto"
"9780060192242";"Jeffrey Archer"
"9780060192303";"Wayne W. Dyer"
"9780060192631";"Jane McCafferty"
"9780060192709";"Judy Sheindlin"
"9780060192891";"Tony Hillerman"
"9780060192952";"Richard Bausch"
"9780060193287";"Lou Marinoff"
"9780060193324";"Loung Ung"
"9780060193386";"Marilyn Yalom"
"9780060193393";"Bill Phillips"
"9780060193393";"Michael D\'Orso"
"9780060193454";"Rebecca Wells"
"9780060193683";"Jim Marrs"
"9780060193706";"Rahna Reiko Rizzuto"
"9780060193751";"Patricia Gaffney"
"9780060193881";"Virginia Lanier"
"9780060193935";"Jim Hightower"
"9780060194147";"James Wolcott"
"9780060194178";"John Colapinto"
"9780060194796";"Debra Ginsberg"
"9780060194918";"Isabel Allende"
"9780060194918";"Margaret Sayers Peden"
"9780060194994";"Harper Lee"
"9780060195410";"Francine Prose"
"9780060195465";"Judy Sheindlin"
"9780060196301";"Patrick Robinson"
"9780060196578";"Jere Longman"
"9780060196660";"Ron Hansen"
"9780060198121";"Joanne Harris"
"9780060198138";"Joanne Harris"
"9780060198183";"Barry Clifford"
"9780060198305";"Lawrence Block"
"9780060198329";"Lawrence Block"
"9780060198503";"Annie Hawes"
"9780060198527";"Michael Perry"
"9780060199104";"Christina Fitzpatrick"
"9780060199296";"Catherine Whitney"
"9780060199296";"Valerie Harper"
"9780060199562";"Terry Pratchett"
"9780060199654";"Barbara Kingsolver"
"9780060201869";"Fritz Siebel"
"9780060201869";"Peggy Parish"
"9780060233341";"Sharon Creech"
"9780060233532";"Paul Zindel"
"9780060235284";"Jean Craighead George"
"9780060235284";"Wendell Minor"
"9780060235338";"Anne Mortimer"
"9780060235338";"Margaret Wise Brown"
"9780060242381";"Bill Brittain"
"9780060244156";"Lois Lenski"
"9780060244156";"Maud Hart Lovelace"
"9780060244750";"M. E. Kerr"
"9780060248024";"Shel Silverstein"
"9780060256258";"Brian Sibley"
"9780060256258";"Pauline Baynes"
"9780060256654";"Shel Silverstein"
"9780060256661";"Shel Silverstein"
"9780060256678";"Shel Silverstein"
"9780060256685";"Shel Silverstein"
"9780060256739";"Shel Silverstein"
"9780060256746";"Shel Silverstein"
"9780060259075";"Laura Ingalls Wilder"
"9780060259075";"Renee Graef"
"9780060269920";"Sharon Creech"
"9780060274061";"Jean Craighead George"
"9780060275105";"Gail Carson Levine"
"9780060275853";"Ji-li Jiang"
"9780060277475";"Francesca Lia Block"
"9780060277499";"Francesca Lia Block"
"9780060278229";"Jennifer L. Holm"
"9780060278236";"Garth Nix"
"9780060278250";"Garth Nix"
"9780060281762";"Chris Lynch"
"9780060282325";"Lynn Joseph"
"9780060283124";"Michael Kupperman"
"9780060284770";"Isaac Bashevis Singer"
"9780060284770";"Maurice Sendak"
"9780060286446";"Francesca Lia Block"
"9780060286880";"R.l. Stine"
"9780060287368";"Jane Yolen"
"9780060287368";"Robert J. Harris"
"9780060287399";"Jennifer L. Holm"
"9780060287801";"Bob Tore"
"9780060287801";"Judge Judy Sheindlin"
"9780060290306";"Gloria Whelan"
"9780060293154";"Gail Carson Levine"
"9780060294656";"Meg Cabot"
"9780060294694";"Meg Cabot"
"9780060294885";"Dean Koontz"
"9780060294885";"Phil Parks"
"9780060298777";"Diana Wynne Jones"
"9780060391027";"Joanna Trollope"
"9780060391447";"Gregory Maguire"
"9780060391508";"Barry Sears"
"9780060391508";"Bill Lawren"
"9780060391539";"Robin Quivers"
"9780060391621";"Wally Lamb"
"9780060391638";"Robert H. Bork"
"9780060392413";"Barry Sears"
"9780060392437";"Barry Sears"
"9780060392451";"Michael Moore"
"9780060392703";"Chin-Ning Chu"
"9780060392826";"Gregory Maguire"
"9780060393144";"George Anastasia"
"9780060393403";"Peggy Noonan"
"9780060393823";"Gregory Maguire"
"9780060393847";"Gregory Maguire"
"9780060394363";"Sela Ward"
"9780060394448";"Alan Cumming"
"9780060406042";"Helen Bee"
"9780060501174";"Joyce Carol Oates"
"9780060502256";"Rebecca Wells"
"9780060502300";"Michael Crichton"
"9780060502317";"Sue Civil-brown"
"9780060502324";"Karen Kendall"
"9780060503468";"Judith R. Hendricks"
"9780060503475";"Judith R. Hendricks"
"9780060503536";"Sari Robins"
"9780060504076";"Barbara Kingsolver"
"9780060504083";"Barbara Kingsolver"
"9780060504113";"Elizabeth Lowell"
"9780060504137";"Elizabeth Lowell"
"9780060505240";"Julia Quinn"
"9780060505240";"Kinley MacGregor"
"9780060505240";"Lisa Kleypas"
"9780060505264";"Christina Lamb"
"9780060505271";"Christina Lamb"
"9780060505554";"Pat Shipman"
"9780060505882";"Loraine Despres"
"9780060506513";"Mitchell Graham"
"9780060506674";"Laura Lippman"
"9780060506759";"Mitchell Graham"
"9780060506988";"Harold G. Moore"
"9780060507237";"Steve Hagen"
"9780060507404";"Chip Kidd"
"9780060507770";"Paul Kidby"
"9780060507770";"Terry Pratchett"
"9780060507848";"Elizabeth Young"
"9780060508876";"Torey Hayden"
"9780060509170";"Isabel Allende"
"9780060509187";"Isabel Allende"
"9780060509392";"Jennifer Haigh"
"9780060509408";"Jennifer Haigh"
"9780060510329";"Isabel Allende"
"9780060511500";"Julia Quinn"
"9780060511500";"Karen Hawkins"
"9780060511500";"Mia Ryan"
"9780060511500";"Suzanne Enoch"
"9780060512804";"Neal Stephenson"
"9780060512828";"Barbara Kingsolver"
"9780060513887";"David Amsden"
"9780060514051";"Karen Hawkins"
"9780060514068";"Georgia Byng"
"9780060514693";"Mel Odom"
"9780060514938";"Lisa Scottoline"
"9780060514945";"Lisa Scottoline"
"9780060516284";"Bernard Cornwell"
"9780060517212";"Elaine Fox"
"9780060517618";"Victoria Alexander"
"9780060517625";"Victoria Alexander"
"9780060517793";"Rebecca Wells"
"9780060518042";"Donna Tartt"
"9780060520229";"Rick Carson"
"9780060520502";"Marian Keyes"
"9780060520519";"Marian Keyes"
"9780060520618";"Laura Schlessinger"
"9780060520823";"Carol Ann Lee"
"9780060521905";"Lauren Haney"
"9780060522254";"Kathleen Tessaro"
"9780060523497";"P. W. Storm"
"9780060524937";"Lee Charles Kelley"
"9780060525019";"Carolyn Hart"
"9780060525019";"Jane Isenberg"
"9780060525019";"Mary Daheim"
"9780060525019";"Shirley Rou"
"9780060525101";"Will Ferguson"
"9780060525460";"Josephine Cox"
"9780060526764";"Marcus J. Borg"
"9780060527419";"Kathryn Smith"
"9780060527792";"E. B. White"
"9780060527792";"Garth Williams"
"9780060528126";"Ashley Olsen"
"9780060528126";"Mary-kate "
"9780060529147";"John Stossel"
"9780060529703";"Jonathan Safran Foer"
"9780060529734";"Catherine Knox"
"9780060529734";"Etienne Van Heerden"
"9780060530426";"Marisol"
"9780060530808";"R.L. Stine"
"9780060531065";"Joyce Carol Oates"
"9780060531232";"Julia Quinn"
"9780060532147";"Carole Matthews"
"9780060533076";"Bette Ford"
"9780060534295";"Wally Lamb"
"9780060536701";"Jacquie D\'Alessandro"
"9780060539832";"Stephanie Bond"
"9780060540593";"Lori Bryant-woolridge"
"9780060542795";"Karin Yapalater"
"9780060544263";"Molly Moynahan"
"9780060545642";"Isabel Allende"
"9780060548216";"Joanne Pence"
"9780060548537";"Charles Lewis"
"9780060548827";"Arthur Nersesian"
"9780060549275";"Jenna McKnight"
"9780060555511";"Reed Arvin"
"9780060555658";"Austin Clarke"
"9780060555849";"Joe Musser"
"9780060555849";"Oliver L. North"
"9780060555887";"Cait London"
"9780060557256";"Marian Keyes"
"9780060557546";"Edward P. Jones"
"9780060558123";"Neil Gaiman"
"9780060558864";"Gail Carson Levine"
"9780060560751";"Kim Wong Keltner"
"9780060560782";"Eloisa James"
"9780060561987";"Hollis Gillespie"
"9780060563073";"J. M. Barrie"
"9780060565510";"Lauren Kelly"
"9780060566685";"Christopher Moore"
"9780060569662";"Ann Patchett"
"9780060569662";"Lucy Grealy"
"9780060571450";"Lois Greiman"
"9780060574215";"John Gray"
"9780060575809";"Gail Carson Levine"
"9780060577476";"Anne Rivers Siddons"
"9780060577476";"Debra Monk"
"9780060580209";"Jeane MacIntosh"
"9780060580209";"Maggie Haberman"
"9780060582302";"Hailey North"
"9780060586126";"Liane Moriarty"
"9780060589271";"Paulo Coelho"
"9780060591700";"Isabel Allende"
"9780060594336";"Ernestine Gilbreth Carey"
"9780060594336";"Frank B. Gilbreth"
"9780060595098";"Eliza Willard"
"9780060595623";"Carole Matthews"
"9780060595838";"Steve Kluger"
"9780060596323";"Su Tong"
"9780060617226";"Bstan-Dzin-Rgya-Mtsho"
"9780060617226";"Dalai Lama"
"9780060617226";"Donald S. Lopez"
"9780060617516";"Dorothy Day"
"9780060621254";"Tilden Edwards"
"9780060631314";"David Glusker"
"9780060639051";"Roger Housden"
"9780060642051";"Vasant Joshi"
"9780060645878";"Sue Monk Kidd"
"9780060645892";"Sue Monk Kidd"
"9780060652869";"Madeleine L\'Engle"
"9780060652920";"C. S. Lewis"
"9780060652937";"C. S. Lewis"
"9780060653033";"Richard P. McBrien"
"9780060669669";"James Bryan Smith"
"9780060669669";"Richard J. Foster"
"9780060675189";"John Shelby Spong"
"9780060675233";"John Shelby Spong"
"9780060675356";"Starhawk"
"9780060688240";"Sheldon Vanauken"
"9780060697020";"Paul Kaufman"
"9780060697020";"Philip Zaleski"
"9780060723897";"Michael Bergin"
"9780060730550";"Joe Simpson"
"9780060739416";"Donna Diamond"
"9780060739416";"Katherine Paterson"
"9780060739447";"Jean Craighead George"
"9780060739447";"John Schoenherr"
"9780060739485";"Jerry Spinelli"
"9780060739492";"Sharon Creech"
"9780060740450";"Gabriel Garcia Marquez"
"9780060745905";"Gregory Maguire"
"9780060801113";"John Gunther"
"9780060801267";"Betty Smith"
"9780060802165";"Alan Bullock"
"9780060804152";"Robert A Johnson"
"9780060804954";"Nicholas Blake"
"9780060805180";"Lange Lewis"
"9780060805425";"Matthew Head"
"9780060805463";"Simon Troy"
"9780060805944";"Barbara Pym"
"9780060806385";"Delano Ames"
"9780060806415";"Ruth Prawer Jhabvala"
"9780060806941";"E. F. Benson"
"9780060806941";"Nancy Mitford"
"9780060807139";"Barbara Pym"
"9780060807399";"Paul McGuire"
"9780060808242";"Dorothy L. Sayers"
"9780060809027";"Mary O\'Hara"
"9780060809072";"Dorothy L. Sayers"
"9780060809072";"Dorothy Sayer"
"9780060809461";"Cay Van Ash"
"9780060809836";"Aldous Huxley"
"9780060809850";"Aldous Huxley"
"9780060812454";"Stephen Mitchell"
"9780060812492";"Richard Wright"
"9780060812508";"Richard Wright"
"9780060830472";"Lincoln Colcord"
"9780060830472";"O.E. Rolvaag"
"9780060830717";"Leo Tolstoy"
"9780060900076";"Aldous Huxley"
"9780060901011";"Aldous Huxley"
"9780060901011";"Martin Green"
"9780060901912";"Aldous Huxley"
"9780060904456";"James Thurber"
"9780060906740";"Frances Gies"
"9780060906740";"Joseph Gies"
"9780060907211";"Odell Shepard"
"9780060907891";"Sylvia Plath"
"9780060907969";"Benita Eisler"
"9780060908546";"Diane Wolkstein"
"9780060908546";"Samuel Noah Kramer"
"9780060909000";"Sylvia Plath"
"9780060909000";"Ted Hughes"
"9780060910495";"Sheila Sancha"
"9780060910693";"Nancy Milford"
"9780060910990";"Armistead Maupin"
"9780060911980";"Roger A. Caras"
"9780060912222";"Milan Kundera"
"9780060912529";"Milan Kundera"
"9780060912598";"Charles E. Funk"
"9780060913076";"Thomas Pynchon"
"9780060913311";"Peter Carey"
"9780060913410";"Thornton Wilder"
"9780060913502";"Bobbie Ann Mason"
"9780060913564";"Harriet Lerner"
"9780060913984";"Pauli Murray"
"9780060914066";"Bernie S. Siegel M.D."
"9780060914257";"Lou Ann Walker"
"9780060914288";"Betty Macdonald"
"9780060914448";"John Lennon"
"9780060914653";"Milan Kundera"
